INFO:Data Dim:[784, 30, 30, 10]
INFO:Iteration 5640, actual_batch_size 50, batch_loss 0.0290523860604, acc 0.980000019073
INFO:Iteration 5660, actual_batch_size 50, batch_loss 0.0860590189695, acc 0.979999959469
INFO:Iteration 5680, actual_batch_size 50, batch_loss 0.149095326662, acc 0.979999959469
INFO:Iteration 5700, actual_batch_size 50, batch_loss 0.156104594469, acc 0.960000038147
INFO:Iteration 5720, actual_batch_size 50, batch_loss 0.0410315133631, acc 0.979999959469
INFO:Iteration 5740, actual_batch_size 50, batch_loss 0.197773233056, acc 0.939999997616
INFO:Iteration 5760, actual_batch_size 50, batch_loss 0.0540534704924, acc 0.979999959469
INFO:Iteration 5780, actual_batch_size 50, batch_loss 0.0507123991847, acc 0.980000019073
INFO:Iteration 5800, actual_batch_size 50, batch_loss 0.126035392284, acc 0.919999957085
INFO:Iteration 5820, actual_batch_size 50, batch_loss 0.133594080806, acc 0.939999997616
INFO:Iteration 5840, actual_batch_size 50, batch_loss 0.255102068186, acc 0.920000016689
INFO:Iteration 5860, actual_batch_size 50, batch_loss 0.112370155752, acc 0.959999978542
INFO:Iteration 5880, actual_batch_size 50, batch_loss 0.149758800864, acc 0.960000038147
INFO:Iteration 5900, actual_batch_size 50, batch_loss 0.139780372381, acc 0.959999978542
INFO:Iteration 5920, actual_batch_size 50, batch_loss 0.0115754678845, acc 1.0
INFO:Iteration 5940, actual_batch_size 50, batch_loss 0.0416634269059, acc 0.979999959469
INFO:Iteration 5960, actual_batch_size 50, batch_loss 0.0709776431322, acc 0.959999978542
INFO:Iteration 5980, actual_batch_size 50, batch_loss 0.0342358201742, acc 1.0
INFO:Iteration 6000, actual_batch_size 50, batch_loss 0.0351024307311, acc 1.0
INFO:Iteration 6020, actual_batch_size 50, batch_loss 0.0769223868847, acc 0.960000038147
INFO:Iteration 6040, actual_batch_size 50, batch_loss 0.117980651557, acc 0.959999978542
INFO:Iteration 6060, actual_batch_size 50, batch_loss 0.0112911881879, acc 1.0
INFO:Iteration 6080, actual_batch_size 50, batch_loss 0.254976689816, acc 0.939999997616
INFO:Iteration 6100, actual_batch_size 50, batch_loss 0.103115864098, acc 0.939999997616
INFO:Iteration 6120, actual_batch_size 50, batch_loss 0.00880589708686, acc 1.0
INFO:Iteration 6140, actual_batch_size 50, batch_loss 0.0909308344126, acc 0.939999938011
INFO:Iteration 6160, actual_batch_size 50, batch_loss 0.217675194144, acc 0.960000038147
